[2018-01-03 10:15:02.517][INF][MeetingSDK:5260:0] ---------- SDK running... (pid:6936)----------
[2018-01-03 10:15:02.518][INF][MeetingSDK:5260:1] startLog:C:\Users\admin\Desktop\web\demo\examples\RecordDemo(web)\home\Log\CloudroomVideoSDK.log
[2018-01-03 10:15:02.518][DBG][MeetingSDK:5260:2] CloudroomVideoSD init...(SDKVer:)
[2018-01-03 10:15:02.518][DBG][MeetingSDK:5260:3] sdkParams:{"NoCallSvr":0,"NoMediaDatToSvr":0}
[2018-01-03 10:15:02.526][DBG][MeetMgr:5260:4] MeetingMgrSDK init(sdkver:1.4.0 2017-11-16_14:28:56)...
[2018-01-03 10:15:02.526][DBG][MeetMgr:5260:5] init ICE moudle, Timeout:90000
[2018-01-03 10:15:02.527][DBG][ICE:5260:6] initialize communicator for MeetingCallAPI, timeout:90000, ConnectTimeout:30000...
[2018-01-03 10:15:02.528][DBG][ICE:5260:7] initialize communicator for MeetingCallAPI...finished
[2018-01-03 10:15:02.528][INF][SIG:5260:8] version: SIGClient 1.0.3.0 Release, for Win32, Built on Nov  3 2017,  12:35:42
[2018-01-03 10:15:02.530][INF][SIG:5260:9] MainFrame::prepare in
[2018-01-03 10:15:02.530][INF][SIG:5260:10] MainFrame::prepare out
[2018-01-03 10:15:02.530][INF][SIG:5260:11] MainFrame::initialize in
[2018-01-03 10:15:02.530][INF][SIG:5260:12] MainFrame::initialize out
[2018-01-03 10:15:02.530][INF][SIG:5260:13] SIGClientInit out
[2018-01-03 10:15:02.530][INF][SIG:5260:14] SIGClientStart in
[2018-01-03 10:15:02.530][INF][SIG:5260:15] SIGClientStart out
[2018-01-03 10:15:02.530][INF][SIG:8332:16] MainService::WorkThread start run.
[2018-01-03 10:15:02.530][DBG][Main:5260:17] MeetingSDK init(sdkver:3.8.3 2017-11-16_14:30:36)...
[2018-01-03 10:15:02.530][DBG][Main:5260:18] MeetingSDK testMode:0, shName:
[2018-01-03 10:15:02.530][DBG][httpLink:5260:19] setHttpTimeout:90000
[2018-01-03 10:15:02.531][DBG][ICE:5260:20] initialize communicator for MeetingSDK, timeout:90000, ConnectTimeout:30000...
